"Ser No / Item ID","Sec Cat/Part No / Part No / Category Code","Barcode / Barcode / QR Code","Nomenclature / Equipment Name","Category","Sub-Category","UOM / Unit of Measure (UOM)","Auth Qty / Authorized Qty","System Qty","Physical Qty","Serviceable","Unserviceable","Condition","Status","Repairable","Issued To","Issued By","Location / Store Room","Min Stock Level","Date of Entry / Last Updated","Date of Exit","Time Entry","Remarks"
"SER-1196","SKU-OF-1196","","Fellowes Powershred Model 295 v1","Office Tech","Printers","Piece","25","25","25","25","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 196 barcode auto-assigned on import"
"SER-1197","SKU-SE-1197","","ZKTeco Biometric Model 296 v2","Security & Access","Smart Locks","Box","26","26","26","26","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 197 barcode auto-assigned on import"
"SER-1198","SKU-FI-1198","","CipherLab RS35 Model 297 v3","Field Ops","Barcode Scanners","Kit","27","27","27","27","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 198 barcode auto-assigned on import"
"SER-1199","SKU-AU-1199","","Sony SRG-X400 Model 298 v4","Audio Visual","PTZ Cameras","Unit","28","28","28","28","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 199 barcode auto-assigned on import"
"SER-1200","SKU-PO-1200","","CyberPower OR2200LCD Model 299 v5","Power & Energy","Solar Inverters","Set","29","29","29","29","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 200 barcode auto-assigned on import"
"SER-1201","SKU-IN-1201","","Siemens S7-1200 Model 300 v1","Industrial Auto","PLC Controllers","Pack","5","5","5","5","0","Good condition","Low Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 201 barcode auto-assigned on import"
"SER-1202","SKU-FA-1202","","Sensaphone Remote Model 301 v2","Facility & Climate","Smart Thermostats","Piece","6","6","6","6","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 202 barcode auto-assigned on import"
"SER-1203","SKU-RO-1203","","Livox Mid-70 Model 302 v3","Robotics & Drones","Robotic Arms","Box","7","7","7","7","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 203 barcode auto-assigned on import"
"SER-1204","SKU-ME-1204","","Thermo Scientific Pico 17 Model 303 v4","Medical & Lab","Thermal Cyclers","Kit","8","8","8","8","0","Operational","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 204 barcode auto-assigned on import"
"SER-1205","SKU-CO-1205","","Apple iMac Model 304 v5","Computing","Laptops","Unit","9","9","9","9","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 205 barcode auto-assigned on import"
"SER-1206","SKU-PE-1206","","Dell Thunderbolt Dock Model 305 v1","Peripherals","USB Hubs","Set","10","10","10","10","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 206 barcode auto-assigned on import"
"SER-1207","SKU-NE-1207","","Fortinet FortiGate 60F Model 306 v2","Networking","Routers","Pack","11","11","11","11","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 207 barcode auto-assigned on import"
"SER-1208","SKU-OF-1208","","Zebra ZD421 Model 307 v3","Office Tech","Scanners","Piece","12","12","12","12","0","Operational","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 208 barcode auto-assigned on import"
"SER-1209","SKU-SE-1209","","Yale Smart Lock Pro Model 308 v4","Security & Access","Intrusion Detectors","Box","13","13","13","13","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 209 barcode auto-assigned on import"
"SER-1210","SKU-FI-1210","","Honeywell Voyager Model 309 v5","Field Ops","Thermal Printers","Kit","14","14","14","14","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 210 barcode auto-assigned on import"
"SER-1211","SKU-AU-1211","","Epson Pro EX10000 Model 310 v1","Audio Visual","Projectors","Unit","15","15","15","15","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 211 barcode auto-assigned on import"
"SER-1212","SKU-PO-1212","","Raritan PX3 Model 311 v2","Power & Energy","Battery Packs","Set","16","16","16","16","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 212 barcode auto-assigned on import"
"SER-1213","SKU-IN-1213","","Mitsubishi MELSEC Model 312 v3","Industrial Auto","HMI Panels","Pack","17","17","17","17","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 213 barcode auto-assigned on import"
"SER-1214","SKU-FA-1214","","Levoit Core 600S Model 313 v4","Facility & Climate","Access Floors","Piece","18","18","18","18","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 214 barcode auto-assigned on import"
"SER-1215","SKU-RO-1215","","MiR250 AGV Model 314 v5","Robotics & Drones","AGV Carts","Box","19","19","19","19","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 215 barcode auto-assigned on import"
"SER-1216","SKU-ME-1216","","Bio-Rad T100 Model 315 v1","Medical & Lab","Centrifuges","Kit","20","20","20","20","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 216 barcode auto-assigned on import"
"SER-1217","SKU-CO-1217","","Lenovo ThinkPad Model 316 v2","Computing","Laptops","Unit","21","21","21","21","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 217 barcode auto-assigned on import"
"SER-1218","SKU-PE-1218","","CalDigit TS4 Model 317 v3","Peripherals","USB Hubs","Set","22","22","22","22","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 218 barcode auto-assigned on import"
"SER-1219","SKU-NE-1219","","Aruba Instant On Model 318 v4","Networking","Routers","Pack","23","23","23","23","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 219 barcode auto-assigned on import"
"SER-1220","SKU-OF-1220","","Fujitsu ScanSnap Model 319 v5","Office Tech","Shredders","Piece","24","24","24","24","0","Operational","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 220 barcode auto-assigned on import"
"SER-1221","SKU-SE-1221","","Hikvision 4K Dome Model 320 v1","Security & Access","Biometric Readers","Box","25","25","25","25","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 221 barcode auto-assigned on import"
"SER-1222","SKU-FI-1222","","TSC Alpha-3R Model 321 v2","Field Ops","Handheld GPS","Kit","26","26","26","26","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 222 barcode auto-assigned on import"
"SER-1223","SKU-AU-1223","","Shure Stem Mic Model 322 v3","Audio Visual","Interactive Displays","Unit","27","27","27","27","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 223 barcode auto-assigned on import"
"SER-1224","SKU-PO-1224","","Eaton 9PX UPS Model 323 v4","Power & Energy","Voltage Stabilizers","Set","28","28","28","28","0","Operational","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 224 barcode auto-assigned on import"
"SER-1225","SKU-IN-1225","","Yokogawa Flowmeter Model 324 v5","Industrial Auto","Servo Drives","Pack","29","29","29","29","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 225 barcode auto-assigned on import"
"SER-1226","SKU-FA-1226","","Quest Dual 155 Model 325 v1","Facility & Climate","Air Purifiers","Piece","5","5","5","5","0","Brand New","Low Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 226 barcode auto-assigned on import"
"SER-1227","SKU-RO-1227","","Universal Robots UR5e Model 326 v2","Robotics & Drones","LIDAR Sensors","Box","6","6","6","6","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 227 barcode auto-assigned on import"
"SER-1228","SKU-ME-1228","","Hach DR3900 Model 327 v3","Medical & Lab","Digital Microscopes","Kit","7","7","7","7","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 228 barcode auto-assigned on import"
"SER-1229","SKU-CO-1229","","Dell Precision Model 328 v4","Computing","Laptops","Unit","8","8","8","8","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 229 barcode auto-assigned on import"
"SER-1230","SKU-PE-1230","","Anker PowerExpand Model 329 v5","Peripherals","USB Hubs","Set","9","9","9","9","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 230 barcode auto-assigned on import"
"SER-1231","SKU-NE-1231","","Cisco Catalyst 9300 Model 330 v1","Networking","Routers","Pack","10","10","10","10","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 231 barcode auto-assigned on import"
"SER-1232","SKU-OF-1232","","Creality Ender 3 Model 331 v2","Office Tech","Laminators","Piece","11","11","11","11","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 232 barcode auto-assigned on import"
"SER-1233","SKU-SE-1233","","Bosch Motion Detector Model 332 v3","Security & Access","CCTV Cameras","Box","12","12","12","12","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 233 barcode auto-assigned on import"
"SER-1234","SKU-FI-1234","","Getac F110 Model 333 v4","Field Ops","Body Cams","Kit","13","13","13","13","0","Brand New","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 234 barcode auto-assigned on import"
"SER-1235","SKU-AU-1235","","Aver Cam520 Pro Model 334 v5","Audio Visual","Conference Mics","Unit","14","14","14","14","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 235 barcode auto-assigned on import"
"SER-1236","SKU-PO-1236","","Enphase IQ8 Model 335 v1","Power & Energy","UPS Systems","Set","15","15","15","15","0","Operational","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 236 barcode auto-assigned on import"
"SER-1237","SKU-IN-1237","","Schneider Modicon Model 336 v2","Industrial Auto","Sensors","Pack","16","16","16","16","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 237 barcode auto-assigned on import"
"SER-1238","SKU-FA-1238","","Honeywell Air Sensor Model 337 v3","Facility & Climate","Env Sensors","Piece","17","17","17","17","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 238 barcode auto-assigned on import"
"SER-1239","SKU-RO-1239","","Skydio X2 Enterprise Model 338 v4","Robotics & Drones","Flight Controllers","Box","18","18","18","18","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 239 barcode auto-assigned on import"
"SER-1240","SKU-ME-1240","","Olympus CX23 Model 339 v5","Medical & Lab","Autoclaves","Kit","19","19","19","19","0","Operational","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 240 barcode auto-assigned on import"
"SER-1241","SKU-CO-1241","","Dell Latitude Model 340 v1","Computing","Laptops","Unit","20","20","20","20","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 241 barcode auto-assigned on import"
"SER-1242","SKU-PE-1242","","Razer DeathAdder Model 341 v2","Peripherals","USB Hubs","Set","21","21","21","21","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 242 barcode auto-assigned on import"
"SER-1243","SKU-NE-1243","","TP-Link Omada Model 342 v3","Networking","Routers","Pack","22","22","22","22","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 243 barcode auto-assigned on import"
"SER-1244","SKU-OF-1244","","Epson WorkForce Pro Model 343 v4","Office Tech","3D Printers","Piece","23","23","23","23","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 244 barcode auto-assigned on import"
"SER-1245","SKU-SE-1245","","Axis Camera Model 344 v5","Security & Access","Access Control","Box","24","24","24","24","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 245 barcode auto-assigned on import"
"SER-1246","SKU-FI-1246","","Axon Body 3 Model 345 v1","Field Ops","Rugged Tablets","Kit","25","25","25","25","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 246 barcode auto-assigned on import"
"SER-1247","SKU-AU-1247","","Samsung Flip Pro Model 346 v2","Audio Visual","Soundbars","Unit","26","26","26","26","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 247 barcode auto-assigned on import"
"SER-1248","SKU-PO-1248","","Blue Sky Solar Model 347 v3","Power & Energy","Power Distribution","Set","27","27","27","27","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 248 barcode auto-assigned on import"
"SER-1249","SKU-IN-1249","","Keyence Sensor Model 348 v4","Industrial Auto","Flow Meters","Pack","28","28","28","28","0","Good condition","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 249 barcode auto-assigned on import"
"SER-1250","SKU-FA-1250","","Ecobee Smart Thermostat Model 349 v5","Facility & Climate","Dehumidifiers","Piece","29","29","29","29","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 250 barcode auto-assigned on import"
"SER-1251","SKU-RO-1251","","DJI Matrice 300 RTK Model 350 v1","Robotics & Drones","Inspection Drones","Box","5","5","5","5","0","Inspected - Good","Low Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 251 barcode auto-assigned on import"
"SER-1252","SKU-ME-1252","","Mettler Toledo Balance Model 351 v2","Medical & Lab","Spectrophotometers","Kit","6","6","6","6","0","Operational","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 252 barcode auto-assigned on import"
"SER-1253","SKU-CO-1253","","Asus ExpertBook Model 352 v3","Computing","Laptops","Unit","7","7","7","7","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 253 barcode auto-assigned on import"
"SER-1254","SKU-PE-1254","","Logitech MX Master Model 353 v4","Peripherals","USB Hubs","Set","8","8","8","8","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 254 barcode auto-assigned on import"
"SER-1255","SKU-NE-1255","","FS.com 10G SFP+ Model 354 v5","Networking","Routers","Pack","9","9","9","9","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 255 barcode auto-assigned on import"
"SER-1256","SKU-OF-1256","","Fellowes Powershred Model 355 v1","Office Tech","Printers","Piece","10","10","10","10","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 256 barcode auto-assigned on import"
"SER-1257","SKU-SE-1257","","ZKTeco Biometric Model 356 v2","Security & Access","Smart Locks","Box","11","11","11","11","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 257 barcode auto-assigned on import"
"SER-1258","SKU-FI-1258","","CipherLab RS35 Model 357 v3","Field Ops","Barcode Scanners","Kit","12","12","12","12","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 258 barcode auto-assigned on import"
"SER-1259","SKU-AU-1259","","Sony SRG-X400 Model 358 v4","Audio Visual","PTZ Cameras","Unit","13","13","13","13","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 259 barcode auto-assigned on import"
"SER-1260","SKU-PO-1260","","CyberPower OR2200LCD Model 359 v5","Power & Energy","Solar Inverters","Set","14","14","14","14","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 260 barcode auto-assigned on import"
"SER-1261","SKU-IN-1261","","Siemens S7-1200 Model 360 v1","Industrial Auto","PLC Controllers","Pack","15","15","15","15","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 261 barcode auto-assigned on import"
"SER-1262","SKU-FA-1262","","Sensaphone Remote Model 361 v2","Facility & Climate","Smart Thermostats","Piece","16","16","16","16","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 262 barcode auto-assigned on import"
"SER-1263","SKU-RO-1263","","Livox Mid-70 Model 362 v3","Robotics & Drones","Robotic Arms","Box","17","17","17","17","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 263 barcode auto-assigned on import"
"SER-1264","SKU-ME-1264","","Thermo Scientific Pico 17 Model 363 v4","Medical & Lab","Thermal Cyclers","Kit","18","18","18","18","0","Operational","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 264 barcode auto-assigned on import"
"SER-1265","SKU-CO-1265","","Apple iMac Model 364 v5","Computing","Laptops","Unit","19","19","19","19","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 265 barcode auto-assigned on import"
"SER-1266","SKU-PE-1266","","Dell Thunderbolt Dock Model 365 v1","Peripherals","USB Hubs","Set","20","20","20","20","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 266 barcode auto-assigned on import"
"SER-1267","SKU-NE-1267","","Fortinet FortiGate 60F Model 366 v2","Networking","Routers","Pack","21","21","21","21","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 267 barcode auto-assigned on import"
"SER-1268","SKU-OF-1268","","Zebra ZD421 Model 367 v3","Office Tech","Scanners","Piece","22","22","22","22","0","Operational","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 268 barcode auto-assigned on import"
"SER-1269","SKU-SE-1269","","Yale Smart Lock Pro Model 368 v4","Security & Access","Intrusion Detectors","Box","23","23","23","23","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 269 barcode auto-assigned on import"
"SER-1270","SKU-FI-1270","","Honeywell Voyager Model 369 v5","Field Ops","Thermal Printers","Kit","24","24","24","24","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 270 barcode auto-assigned on import"
"SER-1271","SKU-AU-1271","","Epson Pro EX10000 Model 370 v1","Audio Visual","Projectors","Unit","25","25","25","25","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 271 barcode auto-assigned on import"
"SER-1272","SKU-PO-1272","","Raritan PX3 Model 371 v2","Power & Energy","Battery Packs","Set","26","26","26","26","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 272 barcode auto-assigned on import"
"SER-1273","SKU-IN-1273","","Mitsubishi MELSEC Model 372 v3","Industrial Auto","HMI Panels","Pack","27","27","27","27","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 273 barcode auto-assigned on import"
"SER-1274","SKU-FA-1274","","Levoit Core 600S Model 373 v4","Facility & Climate","Access Floors","Piece","28","28","28","28","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 274 barcode auto-assigned on import"
"SER-1275","SKU-RO-1275","","MiR250 AGV Model 374 v5","Robotics & Drones","AGV Carts","Box","29","29","29","29","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 275 barcode auto-assigned on import"
"SER-1276","SKU-ME-1276","","Bio-Rad T100 Model 375 v1","Medical & Lab","Centrifuges","Kit","5","5","5","5","0","Operational","Low Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 276 barcode auto-assigned on import"
"SER-1277","SKU-CO-1277","","Lenovo ThinkPad Model 376 v2","Computing","Laptops","Unit","6","6","6","6","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 277 barcode auto-assigned on import"
"SER-1278","SKU-PE-1278","","CalDigit TS4 Model 377 v3","Peripherals","USB Hubs","Set","7","7","7","7","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 278 barcode auto-assigned on import"
"SER-1279","SKU-NE-1279","","Aruba Instant On Model 378 v4","Networking","Routers","Pack","8","8","8","8","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 279 barcode auto-assigned on import"
"SER-1280","SKU-OF-1280","","Fujitsu ScanSnap Model 379 v5","Office Tech","Shredders","Piece","9","9","9","9","0","Operational","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 280 barcode auto-assigned on import"
"SER-1281","SKU-SE-1281","","Hikvision 4K Dome Model 380 v1","Security & Access","Biometric Readers","Box","10","10","10","10","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 281 barcode auto-assigned on import"
"SER-1282","SKU-FI-1282","","TSC Alpha-3R Model 381 v2","Field Ops","Handheld GPS","Kit","11","11","11","11","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 282 barcode auto-assigned on import"
"SER-1283","SKU-AU-1283","","Shure Stem Mic Model 382 v3","Audio Visual","Interactive Displays","Unit","12","12","12","12","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 283 barcode auto-assigned on import"
"SER-1284","SKU-PO-1284","","Eaton 9PX UPS Model 383 v4","Power & Energy","Voltage Stabilizers","Set","13","13","13","13","0","Operational","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 284 barcode auto-assigned on import"
"SER-1285","SKU-IN-1285","","Yokogawa Flowmeter Model 384 v5","Industrial Auto","Servo Drives","Pack","14","14","14","14","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 285 barcode auto-assigned on import"
"SER-1286","SKU-FA-1286","","Quest Dual 155 Model 385 v1","Facility & Climate","Air Purifiers","Piece","15","15","15","15","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 286 barcode auto-assigned on import"
"SER-1287","SKU-RO-1287","","Universal Robots UR5e Model 386 v2","Robotics & Drones","LIDAR Sensors","Box","16","16","16","16","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 287 barcode auto-assigned on import"
"SER-1288","SKU-ME-1288","","Hach DR3900 Model 387 v3","Medical & Lab","Digital Microscopes","Kit","17","17","17","17","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 288 barcode auto-assigned on import"
"SER-1289","SKU-CO-1289","","Dell Precision Model 388 v4","Computing","Laptops","Unit","18","18","18","18","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 289 barcode auto-assigned on import"
"SER-1290","SKU-PE-1290","","Anker PowerExpand Model 389 v5","Peripherals","USB Hubs","Set","19","19","19","19","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 290 barcode auto-assigned on import"
"SER-1291","SKU-NE-1291","","Cisco Catalyst 9300 Model 390 v1","Networking","Routers","Pack","20","20","20","20","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 291 barcode auto-assigned on import"
"SER-1292","SKU-OF-1292","","Creality Ender 3 Model 391 v2","Office Tech","Laminators","Piece","21","21","21","21","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 292 barcode auto-assigned on import"
"SER-1293","SKU-SE-1293","","Bosch Motion Detector Model 392 v3","Security & Access","CCTV Cameras","Box","22","22","22","22","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 293 barcode auto-assigned on import"
